;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;2.18;5.94;2.79;4.99;5.52;4.0;8.61;7.53
Situação do domicílio;;;;;;;;
Urbana;2.33;6.48;2.96;5.32;5.71;4.12;8.76;7.6
Rural;7.28;13.01;9.5;15.48;24.16;15.56;59.03;36.76
Grandes Regiões;;;;;;;;
Norte;5.08;16.61;6.13;12.15;14.08;9.07;19.78;25.5
Nordeste;4.1;9.13;4.83;8.76;8.67;7.66;16.67;14.58
Sudeste;3.93;12.46;5.5;8.58;10.29;7.05;13.7;11.64
Sul;4.82;15.78;6.41;12.33;14.17;9.04;20.57;17.95
Centro-Oeste;6.2;16.43;8.09;13.73;15.58;11.23;22.77;20.15
