;total;local de ocorrência do último furto;local de ocorrência do último furto;local de ocorrência do último furto;local de ocorrência do último furto;local de ocorrência do último furto
;unnamed: 1_level_1;própria residência ou de terceiros;estabelecimento comercial;via pública;transportecoletivo;outro
               brasil;0.0;1.23;2.71;1.94;4.66;3.29
situação do domicílio;;;;;;
urbana;0.0;1.28;2.73;1.95;4.66;3.47
rural;0.0;2.93;12.98;8.88;31.57;11.5
grandes regiões e unidades da federação;;;;;;
norte;0.0;2.28;7.52;5.83;14.49;8.86
rondônia;0.0;4.76;21.21;13.22;71.72;19.41
acre;0.0;5.41;13.79;16.12;71.53;28.59
amazonas;0.0;9.21;22.98;13.15;18.62;21.88
roraima;0.0;6.03;27.21;20.11;;31.48
pará;0.0;3.9;12.81;10.05;27.08;15.67
amapá;0.0;6.45;24.62;23.17;96.63;30.33
tocantins;0.0;4.99;18.37;17.14;101.33;22.59
nordeste;0.0;2.37;5.46;4.05;8.61;5.62
maranhão;0.0;8.03;17.18;21.18;54.5;14.29
piauí;0.0;8.15;16.72;12.6;59.72;22.62
ceará;0.0;4.41;12.54;6.35;14.18;11.38
rio grande do norte;0.0;6.78;19.67;17.47;27.67;21.22
paraíba;0.0;8.29;18.41;12.96;49.74;28.2
pernambuco;0.0;5.77;12.71;7.11;18.05;13.03
alagoas;0.0;12.1;17.48;14.84;41.43;34.82
sergipe;0.0;7.31;17.94;9.28;23.58;24.48
bahia;0.0;4.46;10.19;7.23;17.32;11.08
sudeste;0.0;2.55;4.66;2.97;8.42;5.94
minas gerais;0.0;3.05;6.98;4.76;16.03;9.09
espírito santo;0.0;6.33;16.45;11.18;34.54;25.19
rio de janeiro;0.0;7.18;13.74;5.19;12.57;15.11
são paulo;0.0;4.39;6.78;4.43;13.43;8.85
sul;0.0;2.63;6.48;4.66;11.45;8.37
paraná;0.0;3.98;8.05;7.67;14.2;12.59
santa catarina;0.0;4.7;13.91;9.64;57.21;16.5
rio grande do sul;0.0;4.46;13.52;7.47;19.71;14.42
centro-oeste;0.0;2.86;6.25;4.86;9.84;7.83
mato grosso do sul;0.0;5.94;16.14;9.07;42.08;16.66
mato grosso;0.0;5.35;11.17;15.76;38.45;22.27
goiás;0.0;4.46;10.27;7.28;11.57;11.12
