;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.29;0.3;0.31;0.31;0.38;0.6;0.41
urbana;0.31;0.32;0.33;0.34;0.41;0.63;0.43
rural;0.69;0.69;0.74;0.7;0.86;1.8;0.85
norte;1.77;1.69;1.89;1.77;1.83;3.11;1.81
rondônia;1.39;1.53;1.52;1.6;1.65;3.37;1.73
acre;4.85;4.91;4.84;5.4;4.98;10.49;4.92
amazonas;2.28;2.33;2.35;2.55;2.5;7.35;2.51
roraima;2.57;2.81;2.66;3.58;2.77;3.33;2.96
pará;3.81;3.6;4.08;3.98;3.81;5.97;3.73
amapá;3.69;3.45;4.2;4.46;3.77;6.46;3.76
tocantins;2.29;1.96;2.72;2.23;2.53;4.01;2.55
nordeste;0.57;0.58;0.59;0.62;0.65;1.11;0.67
maranhão;1.85;2.02;1.84;1.6;2.38;4.33;2.51
piauí;1.77;1.69;1.92;1.94;1.94;8.87;1.73
ceará;0.91;0.86;1.09;0.98;1.16;3.29;1.14
rio grande do norte;3.93;3.92;4.06;3.87;4.2;7.52;4.24
paraíba;2.49;2.6;2.51;2.18;3.07;4.13;3.26
pernambuco;1.16;1.15;1.22;1.3;1.22;2.16;1.29
alagoas;2.83;2.55;3.19;4.45;2.58;3.69;2.74
sergipe;2.47;2.55;2.55;2.6;2.67;6.24;2.8
bahia;1.09;1.16;1.09;1.2;1.23;1.46;1.31
sudeste;0.45;0.47;0.48;0.51;0.55;0.86;0.59
minas gerais;0.95;1.01;0.96;1.1;1.04;1.41;1.1
espírito santo;1.74;1.68;1.96;2.29;1.61;3.11;1.68
rio de janeiro;1.14;1.15;1.18;1.31;1.27;1.75;1.4
são paulo;0.58;0.61;0.64;0.66;0.79;1.44;0.87
sul;0.51;0.53;0.56;0.53;0.81;1.44;0.9
paraná;0.85;0.92;0.9;0.89;1.24;2.67;1.36
santa catarina;1.34;1.28;1.56;1.39;2.38;3.97;2.43
rio grande do sul;0.64;0.69;0.7;0.65;1.08;1.82;1.23
centro-oeste;0.81;0.84;0.87;0.88;0.93;1.75;0.95
mato grosso do sul;1.71;1.75;1.81;1.84;2.01;5.08;2.01
mato grosso;2.18;2.4;2.2;2.57;2.4;3.58;2.53
goiás;1.21;1.19;1.39;1.34;1.37;2.75;1.39
distrito federal;1.59;1.6;1.72;1.67;1.87;3.34;1.92
