;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;0.0;0.6966802739822612;1.6762088306158927;1.0784804604344296;2.4174764548076983;3.158787695587954
Situação do domicílio;;;;;;
urbana;0.0;0.41;1.6;1.06;2.52;2.98
rural;0.0;2.72;5.21;2.32;7.45;2.62
grandes regiões e unidades da federação;;;;;;
norte;0.0;2.16;4.94;2.82;7.98;6.44
rondônia;0.0;4.2;9.5;6.23;15.15;14.33
acre;0.0;5.26;15.29;6.37;23.17;18.94
amazonas;0.0;3.24;8.11;5.37;17.17;10.27
roraima;0.0;5.2;23.73;9.41;22.33;22.34
pará;0.0;5.34;11.82;5.02;13.97;13.44
amapá;0.0;5.35;11.7;16.16;25.81;13.94
tocantins;0.0;3.9;8.8;8.97;14.34;13.82
nordeste;0.0;2.2;3.78;2.31;6.38;4.97
maranhão;0.0;13.82;16.75;10.65;27.46;18.93
piauí;0.0;6.07;14.91;3.09;17.61;10.81
ceará;0.0;4.33;7.39;4.86;15.29;9.87
rio grande do norte;0.0;4.97;13.26;10.53;21.66;16.06
paraíba;0.0;3.54;9.69;4.94;18.03;10.6
pernambuco;0.0;4.07;6.78;5.29;14.48;14.14
alagoas;0.0;3.63;14.43;10.16;28.93;7.01
sergipe;0.0;2.73;15.95;7.12;19.35;15.31
bahia;0.0;4.47;8.27;4.72;11.54;10.24
sudeste;0.0;0.66;2.57;1.59;3.78;5.62
minas gerais;0.0;1.29;3.69;2.39;5.04;6.99
espírito santo;0.0;5.5;10.19;5.09;16.04;19.41
rio de janeiro;0.0;1.39;4.79;3.01;7.54;12.83
são paulo;0.0;0.83;4.35;2.73;6.48;7.76
sul;0.0;1.75;3.67;2.14;4.81;7.09
paraná;0.0;2.3;5.06;3.78;8.53;9.64
santa catarina;0.0;3.39;8.95;5.15;9.15;19.69
rio grande do sul;0.0;3.38;5.85;2.93;7.52;9.88
centro-oeste;0.0;1.16;4.11;2.6;5.95;8.65
mato grosso do sul;0.0;2.2;6.21;4.92;11.03;16.29
mato grosso;0.0;2.9;9.81;7.31;14.11;11.36
goiás;0.0;1.86;6.76;3.32;10.05;16.1
