;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;1.44;1.58;1.68;1.81;1.79;3.17;1.9
Situação do domicílio;;;;;;;
Urbana;1.43;1.59;1.67;1.81;1.73;3.2;1.85
Rural;5.48;5.61;7.19;7.19;6.94;13.34;7.27
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;4.95;5.21;5.39;5.63;5.39;7.78;5.68
Rondônia;8.78;9.47;10.16;11.22;9.78;17.5;10.3
Acre;15.8;17.13;16.39;18.85;15.49;22.25;16.63
Amazonas;11.6;11.45;14.55;14.61;11.9;33.96;12.18
Roraima;11.47;14.28;13.17;18.86;11.54;29.28;11.32
Pará;7.68;8.0;8.26;8.82;8.26;10.91;8.63
Amapá;16.43;18.93;16.58;17.82;18.06;24.31;18.09
Tocantins;13.7;13.57;15.58;16.83;14.98;29.58;15.92
Nordeste;2.67;3.04;2.99;3.3;3.12;5.07;3.25
Maranhão;14.84;16.12;15.59;16.51;16.67;17.28;17.37
Piauí;14.53;16.05;17.66;15.2;15.78;42.35;14.81
Ceará;4.57;5.18;4.83;6.35;5.21;12.9;5.25
Rio Grande do Norte;7.23;8.42;8.17;10.45;8.56;16.33;8.98
Paraíba;9.69;13.83;10.79;14.06;10.46;25.51;11.23
Pernambuco;5.35;7.14;5.8;6.6;6.04;12.95;6.12
Alagoas;12.77;14.79;13.36;18.5;14.27;31.21;14.95
Sergipe;7.3;8.68;9.82;10.05;7.99;18.57;7.92
Bahia;5.22;5.91;5.82;7.45;5.52;6.82;6.43
Sudeste;2.51;2.78;2.94;3.01;3.1;6.02;3.31
Minas Gerais;4.69;5.58;5.3;5.59;6.12;11.58;6.44
Espírito Santo;8.84;11.23;10.66;12.57;9.65;17.9;10.59
Rio de Janeiro;4.45;4.86;5.5;5.05;6.25;10.72;6.7
São Paulo;3.73;4.07;4.34;4.24;4.72;9.82;5.02
Sul;3.3;3.49;4.17;3.64;5.04;9.72;5.94
Paraná;4.46;4.77;5.75;4.65;7.15;19.72;8.02
Santa Catarina;11.39;11.28;14.27;13.36;11.16;32.18;11.59
Rio Grande do Sul;4.76;5.06;6.23;4.88;8.87;11.52;11.99
Centro-Oeste;3.37;3.81;4.08;4.18;3.97;7.42;4.12
Mato Grosso do Sul;15.46;15.7;17.82;17.01;17.78;31.26;16.39
Mato Grosso;6.52;7.38;8.33;8.29;8.25;15.82;8.76
Goiás;5.08;5.75;6.4;6.46;5.82;10.98;6.11
Distrito Federal;5.48;6.26;6.5;7.19;6.46;13.24;6.91
